opp_policy,our_policy,max_depth,mean_perc_matches_wins,number_of_tests,mean_comp_wins
Hayo5,AlphaBeta,2.0,32.32,25,0.2
Hayo5,AlphaBeta,4.0,36.53333333333333,15,0.3333333333333333
Hayo5,Greedy,0.0,38.88,25,0.44
Hayo5,Mixed,2.0,39.04,25,0.56
Hayo5,Mixed,4.0,41.733333333333334,15,0.8666666666666667
Hayo5,Mixed,6.0,45.5,12,1.0833333333333333
MiniMax,AlphaBeta,2.0,36.0,2,0.5
MiniMax,AlphaBeta,4.0,54.0,2,2.5
MiniMax,Greedy,0.0,55.38461538461539,13,2.1538461538461537
MiniMax,Mixed,2.0,58.0,3,3.0
PrunedBFS,AlphaBeta,2.0,51.04,25,1.76
PrunedBFS,Greedy,0.0,49.44,25,2.0
PrunedBFS,Mixed,2.0,52.24,25,2.12
PrunedBFS,Mixed,4.0,55.733333333333334,30,2.1666666666666665
PrunedBFS,Mixed,6.0,55.142857142857146,7,1.5714285714285714
Thunder,AlphaBeta,2.0,31.32,50,0.24
Thunder,AlphaBeta,4.0,37.12,50,0.36
Thunder,AlphaBeta,6.0,40.0,13,0.5384615384615384
Thunder,Greedy,0.0,34.56,25,0.52
Thunder,Mixed,2.0,40.72,50,0.76
Thunder,Mixed,4.0,43.16,50,0.82
Thunder,Mixed,6.0,42.36363636363637,44,0.8409090909090909
